Launch,Launch Date (UTC),COSPAR,PL Name,Orig PL Name,SATCAT,LV Type,LV S/N,Site,Suc,Ref
1970-111,1970 Dec 16 0429:59,1970-111A,Kosmos-387,Tselina-OM,S04806,Kosmos 11K65M,V149-31LM,NIIP-53 LC132/2,S,AK15/RAEX
1970-112,1970 Dec 18 0939:13,1970-112A,Kosmos-388,DS-P1-Yu No. 43,S04811,Kosmos 11K63,Yu457-29,NIIP-53 LC133/3,S,AVMDS
1970-113,1970 Dec 18 1615:00,1970-113A,Kosmos-389,Tselina-D No. Yu2250-01,S04813,Vostok 8A92M,R 15000-006,NIIP-53 LC41/1,S,AK15/RAEX
1970-114,1970 Dec 25 0350:02,1970-114A,Molniya-1,Molniya-1 11F67 No. 22,S04829,Molniya 8K78M,V 15000-078 94,NIIP-5 LC1,S,AK15/RAEX
1971-001,1971 Jan 12 0930:01,1971-001A,Kosmos-390,Zenit-4M,S04845,Voskhod 11A57,7705712-216,NIIP-5 LC31,S,AK15/RAEX
1971-002,1971 Jan 14 1200:00,1971-002A,Kosmos-391,DS-P1-I No. 11,S04847,Kosmos 11K63,Yu295-01,NIIP-53 LC133/3,S,AVMDS
1971-003,1971 Jan 20 1124:00,1971-003A,Meteor,Meteor-M No. 19,S04849,Vostok 8A92M,Kh15000-005,NIIP-53 LC41/1,S,PL-WWW
1971-004,1971 Jan 21 0840:01,1971-004A,Kosmos-392,Zenit-2M,S04872,Voskhod 11A57,Kh76001-038,NIIP-5 LC31,S,AK15/RAEX
1971-005,1971 Jan 21 1820,1971-005A,OPS 7776,GAMBIT-3 Mission 4330,S04874,Titan 23B,23B-8 (3B-30),VS SLC4W,S,Wire
1971-006,1971 Jan 26 0036:03,1971-006A,INTELSAT IV F2,INTELSAT IV F2,S04881,Atlas SLV-3C Centaur,AC-25,CC LC36A,S,TR-1022
1971-007,1971 Jan 26 1244:33,1971-007A,Kosmos-393,DS-P1-Yu No. 34,S04884,Kosmos 11K63,Yu457-31,NIIP-53 LC133/3,S,AVMDS
1971-008,1971 Jan 31 2103,1971-008A,Kitty Hawk,Apollo CM-110,S04900,Saturn V,SA-509,KSC LC39A,S,KHR-1
,,1971-008C,Antares,LM 8 AS,S04905,,,,,
1971-009,1971 Feb 3 0141:40,1971-009A,NATO IIB,NATOSAT-II,S04902,Thor Delta M,560/D82,CC LC17A,S,TR-1022
1971-010,1971 Feb 9 1848:48,1971-010A,Kosmos-394,DS-P1-M No. 2,S04922,Kosmos 11K65M,65027-119,NIIP-53 LC132/1,S,AVMDS
1971-011,1971 Feb 16 0400:00,1971-011A,Tansei-1,MS-T1,S04952,Mu-4S,M-4S-2,KASC M,S,ISAS-Doc320
1971-012,1971 Feb 17 0352:05,1971-012A,DAPP 3526,DAPP Block 5A F-3,S04953,Thor Burner 2,249/BII-11,V SLC10W,S,SAC7383
,,1971-012C,S70-3 Drag Sphere,NRL PL170A,S04957,,,,,
,,1971-012D,S70-3 Drag Sphere,NRL PL170B,S04958,,,,,
,,1971-012E,S70-3 Drag Sphere,NRL PL170C,S04963,,,,,
1971-013,1971 Feb 17 2109:59,1971-013A,Kosmos-395,Tselina-OM,S04955,Kosmos 11K65M,53727-117,NIIP-53 LC132/1,S,AK15/RAEX
1971-014,1971 Feb 18 1359:59,1971-014A,Kosmos-396,Zenit-4M No. 49,S04959,Voskhod 11A57,Kh76002-048,NIIP-53 LC43/3,S,AK15/RAEX
1971-015,1971 Feb 25 1111:10,1971-015A,Kosmos-397,I2P,S04964,Tsiklon-2,Yu22500-13L,NIIP-5 LC90/20,S,AK15/RAEX
1971-016,1971 Feb 26 0506:21,1971-016A,Kosmos-398,T2K No. 2,S04966,Soyuz 11A511L,Yu15000-015,NIIP-5 LC31,S,AK15/RAEX
1971-017,1971 Mar 3 0930:01,1971-017A,Kosmos-399,Zenit-4M,S05003,Voskhod 11A57,7705712-220,NIIP-5 LC31,S,AK15/RAEX
1971-018,1971 Mar 3 1202?,1971-018A,Shi Jian,shijian,S05007,Chang Zheng 1,-,JQ LA2A,S,TLE
1971-019,1971 Mar 13 1615:00,1971-019A,IMP 6,IMP I,S05043,Thor Delta M6,562/D83,CC LC17A,S,TR-1022
1971-020,1971 Mar 18 2145:00,1971-020A,Kosmos-400,DS-P1-M No. 3,S05050,Kosmos 11K65M,65027-118,NIIP-53 LC132/1,S,AVMDS
1971-021,1971 Mar 21 0345,1971-021A,OPS 4788,JUMPSEAT 1,S05053,Titan 33B,33B-1 (3B-36),VS SLC4W,S,LR710322
1971-022,1971 Mar 24 2106:00,1971-022A,OPS 5300,CORONA CR-14,S05059,Thorad SLV-2H Agena D,538/FTV 1660,VS SLC3W,S,PER1114
1971-023,1971 Mar 27 1059:59,1971-023A,Kosmos-401,Zenit-4M,S05086,Voskhod 11A57,7705712-219,NIIP-53 LC43/4,S,AK15/RAEX
1971-024,1971 Apr 1 0257:07,1971-024A,Isis 2,Isis B,S05104,Thor Delta E1,491/D84,V SLC2E,S,TR-1022
1971-025,1971 Apr 1 1129:59,1971-025A,Kosmos-402,US-A reactor,S05105,Tsiklon-2,Yu22500-08L,NIIP-5 LC90/19,S,AK15/RAEX
1971-026,1971 Apr 2 0820:00,1971-026A,Kosmos-403,Zenit-2M,S05108,Voskhod 11A57,Kh76001-039,NIIP-53 LC43/3,S,AK15/RAEX
1971-027,1971 Apr 4 1427:43,1971-027A,Kosmos-404,I2P,S05113,Tsiklon-2,Yu22500-14L,NIIP-5 LC90/20,S,AK15/RAEX
1971-028,1971 Apr 7 0710:01,1971-028A,Kosmos-405,Tselina-D,S05117,Vostok 8A92M,Yu15000-064,NIIP-53 LC43/4,S,AK15/RAEX
1971-029,1971 Apr 14 0800:00,1971-029A,Kosmos-406,Zenit-4M,S05124,Voskhod 11A57,Kh76002-050,NIIP-53 LC43/3,S,AK15/RAEX
1971-030,1971 Apr 15 0919:37,1971-030A,Tournesol,D-2A,S05128,Diamant B,No. 3,CSG Diamant,S,JCM
1971-031,1971 Apr 17 1144:58,1971-031A,Meteor,Meteor-M No. 21 (71),S05142,Vostok 8A92M,Ya15000-059,NIIP-53 LC43/4,S,PL-WWW
1971-032,1971 Apr 19 0140:00,1971-032A,Salyut,DOS-1 17K No. 121,S05160,Proton-K,254-01,NIIP-5 LC81/24,S,NK9810-25
1971-033,1971 Apr 22 1530,1971-033A,OPS 7899,GAMBIT-3 Mission 4331,S05171,Titan 23B,23B-9 (3B-31),VS SLC4W,S,LR710422
1971-034,1971 Apr 22 2354:06,1971-034A,Soyuz-10,Soyuz 7K-T No. 31,S05172,Soyuz 11A511,Kh15000-025,NIIP-5 LC1,S,NK9611-46
1971-035,1971 Apr 23 1130:00,1971-035A,Kosmos-407,Strela-2M,S05174,Kosmos 11K65M,53727-116,NIIP-53 LC132/1,S,AK15/RAEX
1971-036,1971 Apr 24 0732:29,1971-036A,San Marco 3,San Marco C,S05176,Scout B,S173C,SMLC,S,LAAFB
1971-037,1971 Apr 24 1115:02,1971-037A,Kosmos-408,DS-P1-Yu No. 37,S05177,Kosmos 11K63,Yu457-33,NIIP-53 LC133/3,S,AVMDS
1971-038,1971 Apr 28 1435,1971-038A,Kosmos-409,Sfera,S05180,Kosmos 11K65M,53727-115,NIIP-53 LC132/1,S,AK15/RAEX
1971-039,1971 May 5 0743:01,1971-039A,DSP F2,DSP 3,S05204,Titan IIIC,23C-2 (3C-20),CC LC40,S,AFT3
1971-040,1971 May 6 0620:01,1971-040A,Kosmos-410,Zenit-2M,S05207,Voskhod 11A57,7705711-122,NIIP-5 LC31,S,AK15/RAEX
1971-041,1971 May 7 1420:00,1971-041A,Kosmos-411,Strela-1M,S05210,Kosmos 11K65M,53727-121,NIIP-53 LC132/1,S,AK15/RAEX
,,1971-041B,Kosmos-412,Strela-1M,S05211,,,,,
,,1971-041C,Kosmos-413,Strela-1M,S05212,,,,,
,,1971-041D,Kosmos-414,Strela-1M,S05213,,,,,
,,1971-041E,Kosmos-415,Strela-1M,S05214,,,,,
,,1971-041F,Kosmos-416,Strela-1M,S05215,,,,,
,,1971-041G,Kosmos-417,Strela-1M,S05216,,,,,
,,1971-041H,Kosmos-418,Strela-1M,S05217,,,,,
1971-042,1971 May 10 1658:42,1971-042A,Kosmos-419,3MS No. 170,S05221,Proton-K/D,253-01,NIIP-5 LC81/23,F,NK9810-25
1971-043,1971 May 18 0800:00,1971-043A,Kosmos-420,Zenit-4M,S05230,Voskhod 11A57,7705712-218,NIIP-5 LC31,S,AK15/RAEX
1971-044,1971 May 19 1020:00,1971-044A,Kosmos-421,DS-P1-Yu No. 48,S05232,Kosmos 11K63,45747-138,NIIP-53 LC133/3,S,AVMDS
1971-045,1971 May 19 1622:44,1971-045A,Mars-2,4M No. 171,S05234,Proton-K/D,255-01,NIIP-5 LC81/24,S,NK9810-25
1971-046,1971 May 22 0051:31,1971-046A,Kosmos-422,Tsiklon No. 8,S05238,Kosmos 11K65M,53727-120,NIIP-53 LC132/1,S,AK15/RAEX
1971-047,1971 May 27 1159:55,1971-047A,Kosmos-423,DS-P1-Yu No. 47,S05246,Kosmos 11K63,64657-133,NIIP-53 LC133/3,S,AVMDS
1971-048,1971 May 28 1030:00,1971-048A,Kosmos-424,Zenit-4M,S05248,Voskhod 11A57,Kh15002-052,NIIP-53 LC43/4,S,AK15/RAEX
1971-049,1971 May 28 1526:30,1971-049A,Mars-3,4M No. 172,S05252,Proton-K/D,249-01,NIIP-5 LC81/23,S,NK9810-25
1971-050,1971 May 29 0349:58,1971-050A,Kosmos-425,Tselina-OM,S05253,Kosmos 11K65M,V149-30LM,NIIP-53 LC132/1,S,AK15/RAEX
1971-051,1971 May 30 2223:04,1971-051A,Mariner 9,Mariner 71J,S05261,Atlas SLV-3C Centaur,AC-23,CC LC36B,S,JPL-TR-32-1550
1971-052,1971 Jun 4 1810:00,1971-052A,Kosmos-426,DS-U2-K No. 1,S05281,Kosmos 11K65M,65014-101,NIIP-53 LC132/2,S,AVMDS
1971-053,1971 Jun 6 0455:09,1971-053A,Soyuz-11,Soyuz 7K-T No. 32,S05283,Soyuz 11A511,Kh15000-024,NIIP-5 LC1,S,NK0204-71
1971-054,1971 Jun 8 1400:05,1971-054A,P70-1,P70-1,S05285,Thor Burner 2,210/BII-12,V SLC10W,S,SAC7383
1971-055,1971 Jun 11 1000:00,1971-055A,Kosmos-427,Zenit-4MK,S05289,Voskhod 11A57,7801424-715,NIIP-53 LC43/4,S,AK15/RAEX
1971-056,1971 Jun 15 1841,1971-056A,OPS 7809,HEXAGON SV-1,S05297,Titan IIID,23D-1,VS SLC4E,S,Wire
1971-057,1971 Jun 24 0759:59,1971-057A,Kosmos-428,Zenit-2M,S05305,Voskhod 11A57,7705711-123,NIIP-5 LC31,S,AK15/RAEX
1971-058,1971 Jul 8 2258:00,1971-058A,Solrad 10,Solar Explorer C,S05317,Scout B,S177C,WI LA3A,S,LAAFB
1971-059,1971 Jul 16 0141:36,1971-059A,Meteor,Meteor-M No. 20,S05327,Vostok 8A92M,7705711-308,NIIP-53 LC43/4,S,PL-WWW
1971-060,1971 Jul 16 1049,1971-060A,OPS 8373,STRAWMAN 4,S05329,Thorad SLV-2H Agena D,550/FTV 2737,V SLC1W,S,BYE15929-71
1971-061,1971 Jul 20 1000:00,1971-061A,Kosmos-429,Zenit-4M,S05331,Voskhod 11A57,7705712-221,NIIP-5 LC31,S,AK15/RAEX
1971-062,1971 Jul 23 1100:09,1971-062A,Kosmos-430,Zenit-4M,S05340,Voskhod 11A57,7705712-215,NIIP-53 LC43/3,S,AK15/RAEX
1971-063,1971 Jul 26 1334:00,1971-063A,Endeavour,Apollo CM-112,S05351,Saturn V,SA-510,KSC LC39A,S,KHR-1
,,1971-063C,Falcon,LM 10 AS,S05366,,,,,
,,1971-063D,Apollo 15 Subsatellite,Apollo 15 Subsatellite,S05377,,,,,
1971-064,1971 Jul 28 0329:01,1971-064A,Molniya-1,Molniya-1 11F67 No. 20,S05367,Molniya 8K78M,Kh15000-096,NIIP-53 LC43/4,S,AK15/RAEX
1971-065,1971 Jul 30 0829:54,1971-065A,Kosmos-431,Zenit-2M,S05364,Voskhod 11A57,7801421-141,NIIP-5 LC31,S,AK15/RAEX
1971-066,1971 Aug 5 1000:00,1971-066A,Kosmos-432,Zenit-4M,S05379,Voskhod 11A57,7801422-242,NIIP-5 LC31,S,AK15/RAEX
1971-067,1971 Aug 7 0011,1971-067C,LOADS 2,OAR-901,S05382,Atlas F,76F,V BMRSA2,S,UPI
,,1971-067D,RTDS,OAR-907,S05383,,,,,
,,1971-067A,OV1-20,OV1-20P/FW4S,S05394,,,,,
,,1971-067F,AVL-802 Mylar Sphere,AVL-802,S05396,,,,,
,,1971-067B,OV1-21,OV1-21P/FW4S,S05397,,,,,
,,1971-067E,LCS 4,LCS 4,S05398,,,,,
,,1971-067G,AVL-802 Grid Sphere 7-2,AVL-802,S05401,,,,,
,,1971-067H,AVL-802 Grid Sphere 7-1,AVL-802,S05406,,,,,
,,1971-067P,AVL-802 Rigid Sphere,-,S05410,,,,,
1971-068,1971 Aug 8 2345:00,1971-068A,Kosmos-433,OGCh 8F673K No. 5102740-2,S05402,R-36O 8K69M,V 22501-07,NIIP-5 LC191/66,S,AK15/RAEX
1971-069,1971 Aug 12 0530:00,1971-069A,Kosmos-434,T2K No. 3,S05407,Soyuz 11A511L,Yu15000-017,NIIP-5 LC31,S,AK15/RAEX
1971-070,1971 Aug 12 1530,1971-070A,OPS 8607,GAMBIT-3 Mission 4332,S05409,Titan 24B,24B-1 (3B-32),VS SLC4W,S,LR710911
1971-071,1971 Aug 16 1839:00,1971-071A,Eole,Eole,S05435,Scout B-1,S180C,WI LA3A,S,LAAFB
1971-072,1971 Aug 27 1054:56,1971-072A,Kosmos-435,DS-P1-Yu No. 41,S05441,Kosmos 11K63,64657-134,NIIP-53 LC133/3,S,AVMDS
1971-073,1971 Sep 2 1340:40,1971-073A,Luna-18 KT,E-8-5 No. 407,S05448,Proton-K/D,256-01,NIIP-5 LC81/24,S,NK9810-25
1971-074,1971 Sep 7 0115:01,1971-074A,Kosmos-436,Tselina-OM,S05461,Kosmos 11K65M,Yu149-42,NIIP-53 LC132/2,S,AK15/RAEX
1971-075,1971 Sep 10 0337:59,1971-075A,Kosmos-437,Tselina-OM,S05466,Kosmos 11K65M,65014-106,NIIP-53 LC132/2,S,AK15/RAEX
1971-076,1971 Sep 10 2132:56,1971-076A,OPS 5454,CORONA CR-15,S05468,Thorad SLV-2H Agena D,567/FTV 1662,VS SLC3W,S,PER1115
,,1971-076B,ARROYO,P-11 No. 4427,S05469,,,,,
1971-077,1971 Sep 14 1300:29,1971-077A,Kosmos-438,Zenit-4MK,S05475,Voskhod 11A57,7702424-716,NIIP-53 LC41/1,S,AK15/RAEX
1971-078,1971 Sep 21 1200:00,1971-078A,Kosmos-439,Zenit-2M,S05478,Voskhod 11A57,7705711-124,NIIP-53 LC43/3,S,AK15/RAEX
1971-079,1971 Sep 24 1030:00,1971-079A,Kosmos-440,DS-P1-I No. 10,S05480,Kosmos 11K63,64634-148,NIIP-53 LC133/3,S,AVMDS
1971-080,1971 Sep 28 0400:00,1971-080A,Shinsei,MS-F2,S05485,Mu-4S,M-4S-3,KASC M,S,ISAS-Doc320
1971-081,1971 Sep 28 0740:00,1971-081A,Kosmos-441,Zenit-4M,S05486,Voskhod 11A57,7705712-224 ?,NIIP-5 LC31,S,AK15/RAEX
1971-082,1971 Sep 28 1000:22,1971-082A,Luna-19,E-8LS No. 202,S05488,Proton-K/D,257-01,NIIP-5 LC81/24,S,NK9810-25
1971-083,1971 Sep 29 0945:00,1971-083A,OSO 7,OSO H,S05491,Thor Delta N,565/D85,CC LC17A,F,KHR-1
,,1971-083B,TETR 3,TETR D,S05492,,,,,
1971-084,1971 Sep 29 1130:01,1971-084A,Kosmos-442,Zenit-4M,S05493,Voskhod 11A57,7705712-222,NIIP-53 LC43/3,S,AK15/RAEX
1971-085,1971 Oct 7 1230:00,1971-085A,Kosmos-443,Zenit-2M,S05536,Voskhod 11A57,7801421-135,NIIP-53 LC43/3,S,AK15/RAEX
1971-086,1971 Oct 13 1341:00,1971-086A,Kosmos-444,Strela-1M,S05547,Kosmos 11K65M,47114-104,NIIP-53 LC132/2,S,AK15/RAEX
,,1971-086B,Kosmos-445,Strela-1M,S05548,,,,,
,,1971-086C,Kosmos-446,Strela-1M,S05549,,,,,
,,1971-086D,Kosmos-447,Strela-1M,S05550,,,,,
,,1971-086E,Kosmos-448,Strela-1M,S05551,,,,,
,,1971-086F,Kosmos-449,Strela-1M,S05552,,,,,
,,1971-086G,Kosmos-450,Strela-1M,S05553,,,,,
,,1971-086H,Kosmos-451,Strela-1M,S05554,,,,,
1971-087,1971 Oct 14 0751:17,1971-087A,DMSP 4527,DMSP Block 5B F-1 (SV-2),S05557,Thor Burner 2A,159/BIIA-10,V SLC10W,S,SAC7383
1971-088,1971 Oct 14 0900:01,1971-088A,Kosmos-452,Zenit-4M,S05558,Voskhod 11A57,7705712-223,NIIP-5 LC31,S,AK15/RAEX
1971-089,1971 Oct 17 1336,1971-089A,P71-2,ASTEX P71-2,S05560,Thorad SLV-2G Agena D,570/FTV ?,V SLC1W,S,Wire
1971-090,1971 Oct 19 1240:01,1971-090A,Kosmos-453,DS-P1-Yu No. 44,S05563,Kosmos 11K63,64634-145,NIIP-53 LC133/3,S,AVMDS
1971-091,1971 Oct 21 1132:00,1971-091A,Delta 86,[For payload bookkeeping],A02045,Thor Delta N6,572/D86,V SLC2E,F,TR-1022
1971-092,1971 Oct 23 1710,1971-092A,OPS 7616,GAMBIT-3 Mission 4333,S05575,Titan 24B,24B-2 (3B-33),VS SLC4W,S,Wire
1971-093,1971 Oct 28 0409:29,1971-093A,Prospero,X-3,S05580,Black Arrow,R-3,WOO LA5B,S,TR-HSE-0199
1971-094,1971 Nov 2 1425:02,1971-094A,Kosmos-454,Zenit-4M,S05585,Voskhod 11A57,7705712-217,NIIP-53 LC41/1,S,AK15/RAEX
1971-095,1971 Nov 3 0309:06,1971-095A,DSCS II F-1,DSCS II A-1,S05587,Titan IIIC,23C-3 (3C-21),CC LC40,S,FT3
,,1971-095B,DSCS II F-2,DSCS II A-2,S05588,,,,,
1971-096,1971 Nov 15 0552:00,1971-096A,SSS 1,SSS A,S05598,Scout B,S163CR,SMLC,S,LAAFB
1971-097,1971 Nov 17 1109:48,1971-097A,Kosmos-455,DS-P1-Yu No. 54,S05608,Kosmos 11K63,29547-144,NIIP-53 LC133/3,S,AVMDS
1971-098,1971 Nov 19 1200:01,1971-098A,Kosmos-456,Zenit-4M,S05611,Voskhod 11A57,7705712-214,NIIP-53 LC43/3,S,AK15/RAEX
1971-099,1971 Nov 20 1800:01,1971-099A,Kosmos-457,Sfera,S05614,Kosmos 11K65M,47114-105,NIIP-53 LC132/2,S,AK15/RAEX
1971-100,1971 Nov 24 0930:02,1971-100A,Molniya-2,Molniya-2,S05620,Molniya 8K78M,Yu15000-092,NIIP-53 LC43/4,S,AK15/RAEX
1971-101,1971 Nov 29 1009:56,1971-101A,Kosmos-458,DS-P1-Yu No. 53,S05623,Kosmos 11K63,29524-151,NIIP-53 LC133/3,S,AVMDS
1971-102,1971 Nov 29 1730:00,1971-102A,Kosmos-459,DS-P1-M No. 5,S05625,Kosmos 11K65M,65027-110,NIIP-53 LC132/1,S,AVMDS
1971-103,1971 Nov 30 1639:01,1971-103A,Kosmos-460,Tselina-OM,S05628,Kosmos 11K65M,65017-101,NIIP-53 LC132/2,S,AK15/RAEX
1971-104,1971 Dec 2 0825:14,1971-104A,Interkosmos-5,DS-U2-IK No. 2,S05641,Kosmos 11K63,-,GTsP-4 LC86/4,S,AVMDS
1971-105,1971 Dec 2 1730:01,1971-105A,Kosmos-461,DS-U2-MT No. 1,S05643,Kosmos 11K65M,47117-109,NIIP-53 LC132/1,S,AVMDS
1971-106,1971 Dec 3 1319:22,1971-106A,Kosmos-462,I2P,S05646,Tsiklon-2,Yu22500-09L,NIIP-5 LC90/20,S,AK15/RAEX
1971-107,1971 Dec 6 0950:01,1971-107A,Kosmos-463,Zenit-4M,S05661,Voskhod 11A57,Kh76002-053,NIIP-5 LC31,S,AK15/RAEX
1971-108,1971 Dec 10 1100:00,1971-108A,Kosmos-464,Zenit-4M,S05670,Voskhod 11A57,7801422-238,NIIP-53 LC43/3,S,AK15/RAEX
1971-109,1971 Dec 11 2047:01,1971-109A,Ariel 4,UK 4,S05675,Scout B-1,S183C,VS SLC5,S,VCR
1971-110,1971 Dec 14 1213,1971-110A,OPS 7898 P/L 1,POPPY 7 SV1,S05678,Thorad SLV-2G Agena D,568/FTV 2707?,V SLC1W,S,JCM
,,1971-110C,OPS 7898 P/L 2,POPPY 7 SV2,S05680,,,,,
,,1971-110D,OPS 7898 P/L 3,POPPY 7 SV3,S05681,,,,,
,,1971-110E,OPS 7898 P/L 4,POPPY 7 SV4,S05682,,,,,
1971-111,1971 Dec 15 0431:21,1971-111A,Kosmos-465,Tsiklon No. 9,S05683,Kosmos 11K65M,65017-108,NIIP-53 LC132/2,S,AK15/RAEX
1971-112,1971 Dec 16 0939:59,1971-112A,Kosmos-466,Zenit-4M,S05687,Voskhod 11A57,7801422-236,NIIP-5 LC31,S,AK15/RAEX
1971-113,1971 Dec 17 1039:58,1971-113A,Kosmos-467,DS-P1-Yu No. 45,S05704,Kosmos 11K63,45747-140,NIIP-53 LC133/3,S,AVMDS
1971-114,1971 Dec 17 1300:01,1971-114A,Kosmos-468,Strela-2M,S05705,Kosmos 11K65M,65014-102,NIIP-53 LC132/2,S,AK15/RAEX
1971-115,1971 Dec 19 2250:12,1971-115A,Molniya-1,Molniya-1 11F67 No. 25,S05712,Molniya 8K78M,7705711-497,NIIP-53 LC43/4,S,AK15/RAEX
1971-116,1971 Dec 20 0110:04,1971-116A,INTELSAT IV F3,INTELSAT IV F3,S05709,Atlas SLV-3C Centaur,AC-26,CC LC36A,S,TR-1022
1971-117,1971 Dec 25 1129:58,1971-117A,Kosmos-469,US-A reactor,S05721,Tsiklon-2,Yu22500-18L,NIIP-5 LC90/19,S,AK15/RAEX
1971-118,1971 Dec 27 1404:51,1971-118A,Kosmos-470,Zenit-4MT,S05727,Soyuz 11A511M,Yu15000-001,NIIP-53 LC41/1,S,AK15/RAEX
1971-119,1971 Dec 27 1900:00,1971-119A,Aureole 1,DS-U2-GKA No. 1,S05729,Kosmos 11K65M,65014-103,NIIP-53 LC132/2,S,AVMDS
1971-120,1971 Dec 29 1050:01,1971-120A,Meteor,Meteor-MV No. 18,S05731,Vostok 8A92M,7705711-307,NIIP-53 LC41/1,S,PL-WWW
1972-001,1972 Jan 12 0959:59,1972-001A,Kosmos-471,Zenit-4M,S05764,Voskhod 11A57,7702423-247,NIIP-5 LC31,S,AK15/RAEX
1972-002,1972 Jan 20 1836,1972-002A,OPS 1737,HEXAGON SV-2,S05769,Titan IIID,23D-2,VS SLC4E,S,TLE
,,1972-002D,MABELI,P-11 No. 4424,S05772,,,,,
1972-003,1972 Jan 23 0012:04,1972-003A,INTELSAT IV F4,INTELSAT IV F4,S05775,Atlas SLV-3C Centaur,AC-28,CC LC36B,S,TR-1022
1972-004,1972 Jan 25 1115:01,1972-004A,Kosmos-472,DS-P1-Yu No. 52,S05804,Kosmos 11K63,29547-143,NIIP-53 LC133/3,S,AVMDS
1972-005,1972 Jan 31 1720:02,1972-005A,HEOS 2,HEOS A2,S05814,Thor Delta L,564/D87,V SLC2E,S,TR-1022
1972-006,1972 Feb 3 0840:00,1972-006A,Kosmos-473,Zenit-2M,S05821,Voskhod 11A57,7801421-136,NIIP-5 LC31,S,AK15/RAEX
1972-007,1972 Feb 14 0327:59,1972-007A,Luna-20 VA,VA,S05835,Proton-K/D,258-01,NIIP-5 LC81/24,S,NK9810-25
1972-008,1972 Feb 16 0930:00,1972-008A,Kosmos-474,Zenit-4M,S05839,Voskhod 11A57,7801422-240,NIIP-5 LC31,S,AK15/RAEX
1972-009,1972 Feb 25 0752:29,1972-009A,Kosmos-475,Tsiklon No. 10,S05846,Kosmos 11K65M,53727-113,NIIP-53 LC132/2,S,AK15/RAEX
1972-010,1972 Mar 1 0939:28,1972-010A,DSP F3,DSP 4,S05851,Titan IIIC,23C-4 (3C-22),CC LC40,S,AFT3
1972-011,1972 Mar 1 1115:00,1972-011A,Kosmos-476,Tselina-D,S05852,Vostok 8A92M,S 15000-009,NIIP-53 LC43/4,S,AK15/RAEX
1972-012,1972 Mar 3 0149:04,1972-012A,Pioneer 10,Pioneer F,S05860,Atlas SLV-3C Centaur,AC-27,CC LC36A,S,TR-1022
1972-013,1972 Mar 4 1000:00,1972-013A,Kosmos-477,Zenit-2M,S05862,Voskhod 11A57,7801421-138,NIIP-53 LC41/1,S,AK15/RAEX
1972-014,1972 Mar 12 0155:08,1972-014A,TD-1A,TD-1A,S05879,Thor Delta N,573/D88,V SLC2E,S,TR-1022
1972-015,1972 Mar 15 1300:01,1972-015A,Kosmos-478,Zenit-4M,S05885,Voskhod 11A57,7702423-252,NIIP-53 LC43/3,S,AK15/RAEX
1972-016,1972 Mar 17 1700,1972-016A,OPS 1678,GAMBIT-3 Mission 4334,S05888,Titan 24B,24B-3 (3B-34),VS SLC4W,S,Wire
1972-017,1972 Mar 22 2030:59,1972-017A,Kosmos-479,Tselina-OM,S05894,Kosmos 11K65M,47127-122,NIIP-53 LC132/2,S,AK15/RAEX
1972-018,1972 Mar 24 0846:12,1972-018A,DMSP 5528,DMSP Block 5B F-2 (SV-1),S05903,Thor Burner 2A,153/BIIA-15,V SLC10W,S,SAC7383
1972-019,1972 Mar 25 0220:00,1972-019A,Kosmos-480,Sfera,S05905,Kosmos 11K65M,65027-123,NIIP-53 LC132/2,S,AK15/RAEX
1972-020,1972 Mar 25 1039:59,1972-020A,Kosmos-481,DS-P1-Yu No. 46,S05906,Kosmos 11K63,64657-134,NIIP-53 LC133/3,S,AVMDS
1972-021,1972 Mar 27 0415:01,1972-021A,Venera-8,4V-1 No. 670,S05912,Molniya 8K78M,S 15000-063,NIIP-5 LC31,S,NK9707-75
1972-022,1972 Mar 30 1405:01,1972-022A,Meteor,Meteor-MV No. 23,S05917,Vostok 8A92M,7702421-334,NIIP-53 LC41/1,S,PL-WWW
1972-023,1972 Mar 31 0402:33,1972-023A,Kosmos-482,4V-1 No. 671,S05919,Molniya 8K78M,7801421-513,NIIP-5 LC31,F,NK9701-29
1972-024,1972 Apr 3 1015:00,1972-024A,Kosmos-483,Zenit-4M,S05924,Voskhod 11A57,7801422-245,NIIP-53 LC41/1,S,AK15/RAEX
1972-025,1972 Apr 4 2038:30,1972-025A,Molniya-1,Molniya-1 11F67 No. 27,S05927,Molniya 8K78M,Yu15000-093,NIIP-53 LC43/4,S,NK9707-75
,,1972-025B,SRET 1,MAS/SRET,S05928,,,,,
1972-026,1972 Apr 6 0800:00,1972-026A,Kosmos-484,Zenit-2M,S05933,Voskhod 11A57,7801421-139,NIIP-53 LC43/3,S,AK15/RAEX
1972-027,1972 Apr 7 1000:00,1972-027A,Interkosmos-6,Energiya No. 1,S05936,Voskhod 11A57,Kh15000-013,NIIP-5 LC31,S,NK9521-43
1972-028,1972 Apr 11 1104:58,1972-028A,Kosmos-485,DS-P1-Yu No. 58,S05938,Kosmos 11K63,45734-142,NIIP-53 LC133/3,S,AVMDS
1972-029,1972 Apr 14 0054:36,1972-029A,Prognoz,SO-M No. 501,S05941,Molniya 8K78M,Kh15000-079,NIIP-5 LC31,S,AK15/RAEX
1972-030,1972 Apr 14 0800:00,1972-030A,Kosmos-486,Zenit-4M,S05945,Voskhod 11A57,7702423-253,NIIP-53 LC43/3,S,AK15/RAEX
